#name	direction	module	candidateTLV
C2S_CMD_ACHEIVE_FETCHREWARD	C2S	ACHEIVE	
C2S_CMD_ACTIVITY_ADDSECRETQUEST	C2S	ACTIVITY	
C2S_CMD_ACTIVITY_FETCH_AWARD	C2S	ACTIVITY	
C2S_CMD_ACTIVITY_GETWILDHUNT_REQ	C2S	ACTIVITY	
C2S_CMD_ACTIVITY_MONOLOPY_DICE	C2S	ACTIVITY	
C2S_CMD_ACTIVITY_MONOLOPY_FIXEDDICE	C2S	ACTIVITY	
C2S_CMD_ACTIVITY_MONOLOPY_PAYFORBLOCK	C2S	ACTIVITY	
C2S_CMD_ACTIVITY_RESETWILDHUNTTASKS	C2S	ACTIVITY	
C2S_CMD_ACTIVITY_WILDHUNTAPPLY	C2S	ACTIVITY	
C2S_CMD_ACTIVITY_WILDHUNT_FETCHTASKCOUNT	C2S	ACTIVITY	TlvTaskCount
C2S_CMD_ASTROLABE_ACCEPTTASK	C2S	ASTROLABE	
C2S_CMD_ASTROLABE_ANSWER	C2S	ASTROLABE	
C2S_CMD_ASTROLABE_BUYDAYTASK	C2S	ASTROLABE	
C2S_CMD_ASTROLABE_GETSUBJECT	C2S	ASTROLABE	
C2S_CMD_ASTROLABE_LIGHTEN	C2S	ASTROLABE	
C2S_CMD_ASTROLABE_MANUALRESET	C2S	ASTROLABE	
C2S_CMD_ASTROLABE_REFRESHTASK	C2S	ASTROLABE	
C2S_CMD_ASTROLABE_RNGLIGHTEN	C2S	ASTROLABE	
C2S_CMD_ASTROLABE_SUBMITTASK	C2S	ASTROLABE	
C2S_CMD_CLAN_ACCEPTCLANINVITATION	C2S	CLAN	
C2S_CMD_CLAN_ALTERLEADER	C2S	CLAN	
C2S_CMD_CLAN_CHECKCLAN	C2S	CLAN	
C2S_CMD_CLAN_CLANERNOTESETTING	C2S	CLAN	
C2S_CMD_CLAN_CREATECLAN	C2S	CLAN	
C2S_CMD_CLAN_DISMISSCLAN	C2S	CLAN	
C2S_CMD_CLAN_GETCLANDETAIL	C2S	CLAN	
C2S_CMD_CLAN_GETCLANERS	C2S	CLAN	
C2S_CMD_CLAN_INVITECLAN	C2S	CLAN	
C2S_CMD_CLAN_JEJECTCLANINVITATION	C2S	CLAN	
C2S_CMD_CLAN_KICKCLANER	C2S	CLAN	
C2S_CMD_CLAN_MEMBER_LIST_REQ	C2S	CLAN	
C2S_CMD_CLAN_MODIFYNAME	C2S	CLAN	
C2S_CMD_CLAN_QUITCLAN	C2S	CLAN	
C2S_CMD_DEMON_TRIAL_GET_LEVELS_PASS_TIME_REQ	C2S	DEMON	
C2S_CMD_DEMON_TRIAL_GET_LEVELS_REQ	C2S	DEMON	
C2S_CMD_FLUTE_INVOKE_TUNE	C2S	FLUTE	
C2S_CMD_FRIEND_ACCEPTFRIENDAPPLY	C2S	FRIEND	
C2S_CMD_FRIEND_JEJECTFRIENDAPPLY	C2S	FRIEND	
C2S_CMD_GUIDE_BOOK_AUTO_FIRST_OPEN_REQ	C2S	GUIDE	
C2S_CMD_GUIDE_BOOK_GET_CHAPTER_REWARD_REQ	C2S	GUIDE	
C2S_CMD_GUIDE_BOOK_SET_NEW_REQ	C2S	GUIDE	
C2S_CMD_GUIDE_BOOK_SET_WEAPON_ID_REQ	C2S	GUIDE	
C2S_CMD_GUILD_ACCEPTGUILDAPPLY	C2S	GUILD	
C2S_CMD_GUILD_ACCEPTGUILDINVITATION	C2S	GUILD	
C2S_CMD_GUILD_ALTERLEADER	C2S	GUILD	
C2S_CMD_GUILD_APPLYGUILD	C2S	GUILD	
C2S_CMD_GUILD_ASCENDTITLE	C2S	GUILD	
C2S_CMD_GUILD_CHECKGUILD	C2S	GUILD	
C2S_CMD_GUILD_CREATEGUILD	C2S	GUILD	
C2S_CMD_GUILD_DEPOTRIGHTSETTING	C2S	GUILD	TlvDepotRights
C2S_CMD_GUILD_DESCENDTITLE	C2S	GUILD	
C2S_CMD_GUILD_DISMISSGUILD	C2S	GUILD	
C2S_CMD_GUILD_ENTERCAMP	C2S	GUILD	
C2S_CMD_GUILD_FINDGUILDS	C2S	GUILD	
C2S_CMD_GUILD_GETCANDIDATESKILLS	C2S	GUILD	TlvSkills
C2S_CMD_GUILD_GETGUILDALL	C2S	GUILD	
C2S_CMD_GUILD_GETGUILDAPPLYS	C2S	GUILD	
C2S_CMD_GUILD_GETGUILDDETAIL	C2S	GUILD	
C2S_CMD_GUILD_GETGUILDER	C2S	GUILD	
C2S_CMD_GUILD_GETGUILDERDETAIL	C2S	GUILD	
C2S_CMD_GUILD_GETGUILDERS	C2S	GUILD	
C2S_CMD_GUILD_GETGUILDERSCOUNT	C2S	GUILD	
